uuid,signature,status,error,error_message,sender_wallet,token_type,token_symbol,token_mint_address,time_stamp,recipient_wallet,amount
4dc2b25f-8b00-465d-8927-32309f102776,591tLywpw3p2zhUEZHSkCR7ZLLHdd9nFRWQYNJ3Xi6PqiBNdNJZB4sUtzd8wztBEmHcQX71j3KMU74ymm8twEtNK,success,,,5vavpkjjTUhanGrLNR2XJPNonaH9ayvsDPk4iJtXa2YQ,SPL,SOL,SOL,20250314T022900Z,4FR3gkFqdn5PnCDzvPw71x6RdHEGCY3w6niPktziWURf,0.003779
4dc2b25f-8b00-465d-8927-32309f102776,591tLywpw3p2zhUEZHSkCR7ZLLHdd9nFRWQYNJ3Xi6PqiBNdNJZB4sUtzd8wztBEmHcQX71j3KMU74ymm8twEtNK,success,,,5vavpkjjTUhanGrLNR2XJPNonaH9ayvsDPk4iJtXa2YQ,SPL,SOL,SOL,20250314T022900Z,GbbWBamWDeAPEu7mt6vYWrseHxRBTDSUwLEyDEruK2PL,0.001796
4dc2b25f-8b00-465d-8927-32309f102776,591tLywpw3p2zhUEZHSkCR7ZLLHdd9nFRWQYNJ3Xi6PqiBNdNJZB4sUtzd8wztBEmHcQX71j3KMU74ymm8twEtNK,success,,,5vavpkjjTUhanGrLNR2XJPNonaH9ayvsDPk4iJtXa2YQ,SPL,SOL,SOL,20250314T022900Z,8X7xbFzgtUdoQVmWFsQAoDa9e5nqf4cp6Jks5MTafw3z,0.001687
4dc2b25f-8b00-465d-8927-32309f102776,591tLywpw3p2zhUEZHSkCR7ZLLHdd9nFRWQYNJ3Xi6PqiBNdNJZB4sUtzd8wztBEmHcQX71j3KMU74ymm8twEtNK,success,,,5vavpkjjTUhanGrLNR2XJPNonaH9ayvsDPk4iJtXa2YQ,SPL,SOL,SOL,20250314T022900Z,7Gh3NSYMLaGeNh6LmCkDJjMFAAYXiyyL4HwzWZxv3SE6,0.002517
4dc2b25f-8b00-465d-8927-32309f102776,591tLywpw3p2zhUEZHSkCR7ZLLHdd9nFRWQYNJ3Xi6PqiBNdNJZB4sUtzd8wztBEmHcQX71j3KMU74ymm8twEtNK,success,,,5vavpkjjTUhanGrLNR2XJPNonaH9ayvsDPk4iJtXa2YQ,SPL,SOL,SOL,20250314T022900Z,JEGW3LJxiUzYTZyqemtvvMdc1n9VixFzdaxVVjmkF9KH,0.006391
4dc2b25f-8b00-465d-8927-32309f102776,591tLywpw3p2zhUEZHSkCR7ZLLHdd9nFRWQYNJ3Xi6PqiBNdNJZB4sUtzd8wztBEmHcQX71j3KMU74ymm8twEtNK,success,,,5vavpkjjTUhanGrLNR2XJPNonaH9ayvsDPk4iJtXa2YQ,SPL,SOL,SOL,20250314T022900Z,D81pZuWkFyrF8HF21SDpuNmDztCbCKwpdiZEp9NB8Hbk,0.003299
4dc2b25f-8b00-465d-8927-32309f102776,591tLywpw3p2zhUEZHSkCR7ZLLHdd9nFRWQYNJ3Xi6PqiBNdNJZB4sUtzd8wztBEmHcQX71j3KMU74ymm8twEtNK,success,,,5vavpkjjTUhanGrLNR2XJPNonaH9ayvsDPk4iJtXa2YQ,SPL,SOL,SOL,20250314T022900Z,BAiYMXmbVj1FedxCLSicHZW5bhMgsonDZ7cUB1hh5KMK,0.003074
4dc2b25f-8b00-465d-8927-32309f102776,591tLywpw3p2zhUEZHSkCR7ZLLHdd9nFRWQYNJ3Xi6PqiBNdNJZB4sUtzd8wztBEmHcQX71j3KMU74ymm8twEtNK,success,,,5vavpkjjTUhanGrLNR2XJPNonaH9ayvsDPk4iJtXa2YQ,SPL,SOL,SOL,20250314T022900Z,5qhEM9M7gJ1pdps2CTvJkeFEVtfV6xEvT4Qnn1eERPwN,0.003723
4dc2b25f-8b00-465d-8927-32309f102776,591tLywpw3p2zhUEZHSkCR7ZLLHdd9nFRWQYNJ3Xi6PqiBNdNJZB4sUtzd8wztBEmHcQX71j3KMU74ymm8twEtNK,success,,,5vavpkjjTUhanGrLNR2XJPNonaH9ayvsDPk4iJtXa2YQ,SPL,SOL,SOL,20250314T022900Z,7ToJyL9Jvxz8nCaiHsuFvwKAA7cJMkh1VUSXpve8oj6p,0.005074
4dc2b25f-8b00-465d-8927-32309f102776,4pVpdtJ8NGKsMXz75bRLXF4UrxLZxEAaCAs7LYZPSYyVxZjq8haHaX745n5reUuK7UPsCa2wVJmNqnaFUcfLus3z,success,,,5vavpkjjTUhanGrLNR2XJPNonaH9ayvsDPk4iJtXa2YQ,SPL,SOL,SOL,20250314T022900Z,58PcB7PrycjcsFFjKDfDVWnVop2vQVCKARkrb22HCY72,0.008446
4dc2b25f-8b00-465d-8927-32309f102776,4pVpdtJ8NGKsMXz75bRLXF4UrxLZxEAaCAs7LYZPSYyVxZjq8haHaX745n5reUuK7UPsCa2wVJmNqnaFUcfLus3z,success,,,5vavpkjjTUhanGrLNR2XJPNonaH9ayvsDPk4iJtXa2YQ,SPL,SOL,SOL,20250314T022900Z,AHyLj6oD6BxLi8fC2GSqsmvKsmbgmrA9Y6WfX2NTZKDA,0.004431
4dc2b25f-8b00-465d-8927-32309f102776,4pVpdtJ8NGKsMXz75bRLXF4UrxLZxEAaCAs7LYZPSYyVxZjq8haHaX745n5reUuK7UPsCa2wVJmNqnaFUcfLus3z,success,,,5vavpkjjTUhanGrLNR2XJPNonaH9ayvsDPk4iJtXa2YQ,SPL,SOL,SOL,20250314T022900Z,3pr2aRsokdCBXhhvpnYLyH1mCdWebREuxq4CywQDchrX,0.009502
4dc2b25f-8b00-465d-8927-32309f102776,4pVpdtJ8NGKsMXz75bRLXF4UrxLZxEAaCAs7LYZPSYyVxZjq8haHaX745n5reUuK7UPsCa2wVJmNqnaFUcfLus3z,success,,,5vavpkjjTUhanGrLNR2XJPNonaH9ayvsDPk4iJtXa2YQ,SPL,SOL,SOL,20250314T022900Z,7hwKqjSyAKdc9USCMzBhgPkC8Jh8r18yeeNuxZfMimGn,0.009282
4dc2b25f-8b00-465d-8927-32309f102776,4pVpdtJ8NGKsMXz75bRLXF4UrxLZxEAaCAs7LYZPSYyVxZjq8haHaX745n5reUuK7UPsCa2wVJmNqnaFUcfLus3z,success,,,5vavpkjjTUhanGrLNR2XJPNonaH9ayvsDPk4iJtXa2YQ,SPL,SOL,SOL,20250314T022900Z,D4cNbSddGK3LnqoCM9DwPSR7zsTriPnJZxtJQsB2Rv9u,0.00283
4dc2b25f-8b00-465d-8927-32309f102776,4pVpdtJ8NGKsMXz75bRLXF4UrxLZxEAaCAs7LYZPSYyVxZjq8haHaX745n5reUuK7UPsCa2wVJmNqnaFUcfLus3z,success,,,5vavpkjjTUhanGrLNR2XJPNonaH9ayvsDPk4iJtXa2YQ,SPL,SOL,SOL,20250314T022900Z,Ei5JUVmWbhPTTYxQoYd5nZCQaqLgNgHffQy2rM5j9q9o,0.008236
4dc2b25f-8b00-465d-8927-32309f102776,4pVpdtJ8NGKsMXz75bRLXF4UrxLZxEAaCAs7LYZPSYyVxZjq8haHaX745n5reUuK7UPsCa2wVJmNqnaFUcfLus3z,success,,,5vavpkjjTUhanGrLNR2XJPNonaH9ayvsDPk4iJtXa2YQ,SPL,SOL,SOL,20250314T022900Z,82p4jSNqvULoXFkkBixGNcvoZnHbNEDCJAGBAYLmExT8,0.004225
4dc2b25f-8b00-465d-8927-32309f102776,4pVpdtJ8NGKsMXz75bRLXF4UrxLZxEAaCAs7LYZPSYyVxZjq8haHaX745n5reUuK7UPsCa2wVJmNqnaFUcfLus3z,success,,,5vavpkjjTUhanGrLNR2XJPNonaH9ayvsDPk4iJtXa2YQ,SPL,SOL,SOL,20250314T022900Z,9MwTyimpfgMafSVzKF2BHxDSUQKgcqZEuEBmagrtzPx1,0.005972
4dc2b25f-8b00-465d-8927-32309f102776,4pVpdtJ8NGKsMXz75bRLXF4UrxLZxEAaCAs7LYZPSYyVxZjq8haHaX745n5reUuK7UPsCa2wVJmNqnaFUcfLus3z,success,,,5vavpkjjTUhanGrLNR2XJPNonaH9ayvsDPk4iJtXa2YQ,SPL,SOL,SOL,20250314T022900Z,D6LUKN4SaSFqNP2f8suD9fawxYHU6KxohjRevbfEuUQ2,0.008806
4dc2b25f-8b00-465d-8927-32309f102776,4CD3Xg9yXpf7iwd6u7c33ui2zqTohM1UCcMxYvALWReYggCnPLnLGD37dz5auoSuifGe4WzKi4cH8ry7DR7BX5BV,success,,,5vavpkjjTUhanGrLNR2XJPNonaH9ayvsDPk4iJtXa2YQ,SPL,SOL,SOL,20250314T022900Z,8DNANcS3xKCvCPSNfBXE73fsVpXguQArCCfBX34pPf8L,0.001164
4dc2b25f-8b00-465d-8927-32309f102776,4CD3Xg9yXpf7iwd6u7c33ui2zqTohM1UCcMxYvALWReYggCnPLnLGD37dz5auoSuifGe4WzKi4cH8ry7DR7BX5BV,success,,,5vavpkjjTUhanGrLNR2XJPNonaH9ayvsDPk4iJtXa2YQ,SPL,SOL,SOL,20250314T022900Z,EvH5frPPPLb14bNR1iXyuVqUp83MwYQU7VCVpJc9gzM8,0.006247
